"TypeOfTag","TextEnclosed"

"url: 6","https://pec.ac.in/faculty-affairs"
"titleTag","Faculty Affairs | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 55","https://pec.ac.in/faculty-affairs#main-content"
"titleTag","Faculty Affairs | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 56","https://pec.ac.in/faculty-affairs#0"
"titleTag","Faculty Affairs | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 173","https://pec.ac.in/research-groups-recent-interests-faculty"
"titleTag","Research Groups as per recent interests of Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 176","http://pec.ac.in/research-groups-recent-interests-faculty"
"titleTag","Research Groups as per recent interests of Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 313","https://pec.ac.in/csrc/faculty"
"titleTag","Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 349","https://pec.ac.in/research-groups-recent-interests-faculty#main-content"
"titleTag","Research Groups as per recent interests of Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 350","https://pec.ac.in/research-groups-recent-interests-faculty#0"
"titleTag","Research Groups as per recent interests of Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 351","https://pec.ac.in/csrc/faculty#main-content"
"titleTag","Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 352","https://pec.ac.in/csrc/faculty#0"
"titleTag","Faculty | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 384","https://pec.ac.in/faculty/cse"
"titleTag","Computer Science and Engineering Department | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 393","https://pec.ac.in/faculty/cse#main-content"
"titleTag","Computer Science and Engineering Department | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 394","https://pec.ac.in/faculty/cse#0"
"titleTag","Computer Science and Engineering Department | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 395","https://pec.ac.in/cse/faculty/rajni-sethi"
"titleTag","Rajni Sethi | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 396","https://pec.ac.in/cse/faculty/rattan-deep-kaur"
"titleTag","Rattan Deep Kaur | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 403","https://pec.ac.in/cse/faculty/rajni-sethi#main-content"
"titleTag","Rajni Sethi | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 404","https://pec.ac.in/cse/faculty/rajni-sethi#0"
"titleTag","Rajni Sethi | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 405","https://pec.ac.in/cse/faculty/rajni-sethi#tab3info"
"titleTag","Rajni Sethi | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 406","https://pec.ac.in/cse/faculty/rattan-deep-kaur#main-content"
"titleTag","Rattan Deep Kaur | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 407","https://pec.ac.in/cse/faculty/rattan-deep-kaur#0"
"titleTag","Rattan Deep Kaur | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"

"url: 408","https://pec.ac.in/cse/faculty/rattan-deep-kaur#tab3info"
"titleTag","Rattan Deep Kaur | Punjab Engineering College"
"p","Quick Links"
"p","Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012"
